kepid,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_model_snr,koi_num_transits
6962977,Kepler-292 d,CONFIRMED,0,0,32.10,165
11176127,Kepler-298 b,CONFIRMED,0,0,40.30,129
11176127,Kepler-298 c,CONFIRMED,0,0,21.30,56
11176127,Kepler-298 d,CONFIRMED,0,0,27.50,15
11014932,Kepler-299 c,CONFIRMED,0,0,34.50,197
8030148,Kepler-474 b,CONFIRMED,0,0,201.10,237
6693640,Kepler-798 b,CONFIRMED,0,0,48.30,96
10858691,Kepler-286 e,CONFIRMED,0,0,14.60,37
10973814,Kepler-287 c,CONFIRMED,0,0,33.00,28
10973814,Kepler-287 b,CONFIRMED,0,0,28.70,65
6541920,Kepler-11 g,CONFIRMED,0,0,83.10,12
10586208,Kepler-811 b,CONFIRMED,0,0,42.80,45
6962977,Kepler-292 e,CONFIRMED,0,0,27.80,97
6962977,Kepler-292 c,CONFIRMED,0,0,19.60,298
6962977,Kepler-292 b,CONFIRMED,0,0,17.50,384
6932987,Kepler-293 b,CONFIRMED,0,0,50.70,71
11014932,Kepler-299 d,CONFIRMED,0,0,16.60,86
11014932,Kepler-299 b,CONFIRMED,0,0,18.00,417
11014932,Kepler-299 e,CONFIRMED,0,0,15.00,31
11288505,Kepler-846 b,CONFIRMED,0,0,20.10,55
11493431,Kepler-847 b,CONFIRMED,0,0,23.90,454
10854768,Kepler-812 b,CONFIRMED,0,0,50.60,130
10964440,Kepler-813 b,CONFIRMED,0,0,31.70,58
10713616,Kepler-1667 b,CONFIRMED,0,0,54.90,15
10963242,Kepler-814 b,CONFIRMED,0,0,25.80,177
6932987,Kepler-293 c,CONFIRMED,0,0,29.10,23
8191672,Kepler-5 b,CONFIRMED,0,1,2486.50,378
